"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0100000US","United States","334922499","*****",
"0400000US17","Illinois","12694798","*****",
"1400000US17031060200","Census Tract 602; Cook County; Illinois","2176","317",
"1400000US17031060300","Census Tract 603; Cook County; Illinois","3057","362",
"1400000US17031060400","Census Tract 604; Cook County; Illinois","3533","496",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","1329","171",
"1400000US17031060800","Census Tract 608; Cook County; Illinois","5413","633",
"1400000US17031060900","Census Tract 609; Cook County; Illinois","7283","733",
"1400000US17031061000","Census Tract 610; Cook County; Illinois","2284","342",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","1368","228",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","1954","240",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","1811","261",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","1152","161",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","3709","455",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","4581","587",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","3021","360",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","3841","555",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","3119","623",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","1596","257",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","1803","217",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","1435","216",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","2317","404",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","3152","311",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","3925","505",
"1400000US17031062900","Census Tract 629; Cook County; Illinois","4232","472",
"1400000US17031063000","Census Tract 630; Cook County; Illinois","3062","500",
"1400000US17031063100","Census Tract 631; Cook County; Illinois","2336","283",
"1400000US17031063200","Census Tract 632; Cook County; Illinois","6806","679",
"1400000US17031063301","Census Tract 633.01; Cook County; Illinois","2898","380",
"1400000US17031063302","Census Tract 633.02; Cook County; Illinois","4358","521",
"1400000US17031063303","Census Tract 633.03; Cook County; Illinois","1315","111",
"1400000US17031063400","Census Tract 634; Cook County; Illinois","2244","325",
"1400000US17031070101","Census Tract 701.01; Cook County; Illinois","4003","691",
"1400000US17031070102","Census Tract 701.02; Cook County; Illinois","2960","381",
"1400000US17031070103","Census Tract 701.03; Cook County; Illinois","1489","164",
"1400000US17031070200","Census Tract 702; Cook County; Illinois","4035","654",
"1400000US17031070300","Census Tract 703; Cook County; Illinois","3711","686",
"1400000US17031070400","Census Tract 704; Cook County; Illinois","3433","441",
"1400000US17031070500","Census Tract 705; Cook County; Illinois","3238","378",
"1400000US17031070600","Census Tract 706; Cook County; Illinois","3477","746",
"1400000US17031070700","Census Tract 707; Cook County; Illinois","3787","534",
"1400000US17031071000","Census Tract 710; Cook County; Illinois","4159","604",
"1400000US17031071100","Census Tract 711; Cook County; Illinois","2979","539",
"1400000US17031071200","Census Tract 712; Cook County; Illinois","2775","420",
"1400000US17031071300","Census Tract 713; Cook County; Illinois","4123","610",
"1400000US17031071400","Census Tract 714; Cook County; Illinois","4448","671",
"1400000US17031071500","Census Tract 715; Cook County; Illinois","5482","815",
"1400000US17031071600","Census Tract 716; Cook County; Illinois","1783","300",
"1400000US17031071700","Census Tract 717; Cook County; Illinois","1656","202",
"1400000US17031071800","Census Tract 718; Cook County; Illinois","2860","387",
"1400000US17031080100","Census Tract 801; Cook County; Illinois","6387","735",
"1400000US17031080201","Census Tract 802.01; Cook County; Illinois","3446","471",
"1400000US17031080202","Census Tract 802.02; Cook County; Illinois","3987","464",
"1400000US17031080300","Census Tract 803; Cook County; Illinois","6101","750",
"1400000US17031080400","Census Tract 804; Cook County; Illinois","5415","1675",
"1400000US17031081000","Census Tract 810; Cook County; Illinois","8264","652",
"1400000US17031081100","Census Tract 811; Cook County; Illinois","3984","486",
"1400000US17031081201","Census Tract 812.01; Cook County; Illinois","4442","567",
"1400000US17031081202","Census Tract 812.02; Cook County; Illinois","3501","598",
"1400000US17031081300","Census Tract 813; Cook County; Illinois","5704","875",
"1400000US17031081401","Census Tract 814.01; Cook County; Illinois","2503","289",
"1400000US17031081402","Census Tract 814.02; Cook County; Illinois","6687","802",
"1400000US17031081403","Census Tract 814.03; Cook County; Illinois","10291","1228",
"1400000US17031081500","Census Tract 815; Cook County; Illinois","5237","654",
"1400000US17031081600","Census Tract 816; Cook County; Illinois","4553","652",
"1400000US17031081700","Census Tract 817; Cook County; Illinois","5161","535",
"1400000US17031081800","Census Tract 818; Cook County; Illinois","13521","1256",
"1400000US17031081900","Census Tract 819; Cook County; Illinois","1326","276",
